,original_unit_id,recording,exp1,exp4,exp5,cell group
0,2,11_cage_p1_merged.rec,signifcantly increased,signifcantly increased,signifcantly increased,exp1exp4exp5
1,235,11_cage_p1_merged.rec,signifcantly decreased,signifcantly increased,signifcantly increased,exp1exp4exp5
2,75,11_cage_p1_merged.rec,not significantly changed,signifcantly decreased,signifcantly decreased,exp4exp5
3,104,11_cage_p1_merged.rec,signifcantly decreased,signifcantly decreased,signifcantly decreased,exp1exp4exp5
4,61,11_cage_p1_merged.rec,signifcantly increased,not significantly changed,signifcantly decreased,exp1exp5
5,23,11_cage_p1_merged.rec,not significantly changed,signifcantly decreased,signifcantly decreased,exp4exp5
6,64,11_cage_p1_merged.rec,signifcantly decreased,signifcantly increased,signifcantly decreased,exp1exp4exp5
7,108,11_cage_p1_merged.rec,signifcantly increased,not significantly changed,signifcantly increased,exp1exp5
8,163,11_cage_p1_merged.rec,signifcantly decreased,not significantly changed,signifcantly increased,exp1exp5
9,167,11_cage_p1_merged.rec,signifcantly decreased,signifcantly decreased,signifcantly decreased,exp1exp4exp5
10,233,11_cage_p1_merged.rec,not significantly changed,not significantly changed,not significantly changed,
11,230,11_cage_p1_merged.rec,signifcantly decreased,signifcantly decreased,not significantly changed,exp1exp4
12,107,11_cage_p1_merged.rec,signifcantly increased,not significantly changed,signifcantly increased,exp1exp5
13,245,12_cage_p1_merged.rec,not significantly changed,not significantly changed,not significantly changed,
14,345,12_cage_p1_merged.rec,signifcantly decreased,not significantly changed,not significantly changed,exp1
15,350,12_cage_p1_merged.rec,not significantly changed,not significantly changed,not significantly changed,
16,218,12_cage_p1_merged.rec,signifcantly increased,signifcantly increased,not significantly changed,exp1exp4
17,212,12_cage_p1_merged.rec,not significantly changed,signifcantly decreased,not significantly changed,exp4
18,368,12_cage_p1_merged.rec,signifcantly increased,signifcantly increased,signifcantly increased,exp1exp4exp5
19,365,12_cage_p1_merged.rec,not significantly changed,not significantly changed,not significantly changed,
20,263,12_cage_p1_merged.rec,signifcantly decreased,not significantly changed,signifcantly decreased,exp1exp5
21,209,12_cage_p1_merged.rec,not significantly changed,signifcantly decreased,not significantly changed,exp4
22,22,12_cage_p1_merged.rec,not significantly changed,signifcantly increased,signifcantly increased,exp4exp5
23,356,12_cage_p1_merged.rec,signifcantly increased,not significantly changed,signifcantly increased,exp1exp5
24,294,12_cage_p1_merged.rec,not significantly changed,not significantly changed,not significantly changed,
25,382,12_cage_p1_merged.rec,not significantly changed,signifcantly increased,not significantly changed,exp4
26,309,12_cage_p1_merged.rec,not significantly changed,signifcantly decreased,not significantly changed,exp4
27,40,12_cage_p1_merged.rec,signifcantly increased,not significantly changed,not significantly changed,exp1
28,386,12_cage_p1_merged.rec,not significantly changed,signifcantly decreased,not significantly changed,exp4
29,204,12_cage_p1_merged.rec,signifcantly decreased,signifcantly increased,not significantly changed,exp1exp4
30,1,12_cage_p1_merged.rec,signifcantly increased,signifcantly decreased,not significantly changed,exp1exp4
31,211,13_cage_p1_merged.rec,not significantly changed,signifcantly decreased,signifcantly decreased,exp4exp5
32,218,13_cage_p1_merged.rec,not significantly changed,not significantly changed,signifcantly increased,exp5
33,196,13_cage_p1_merged.rec,signifcantly increased,signifcantly increased,signifcantly decreased,exp1exp4exp5
34,23,13_cage_p1_merged.rec,not significantly changed,not significantly changed,signifcantly increased,exp5
35,199,13_cage_p1_merged.rec,not significantly changed,signifcantly decreased,signifcantly decreased,exp4exp5
36,279,13_cage_p1_merged.rec,not significantly changed,signifcantly increased,not significantly changed,exp4
37,238,13_cage_p1_merged.rec,signifcantly decreased,signifcantly decreased,signifcantly increased,exp1exp4exp5
38,231,13_cage_p1_merged.rec,not significantly changed,signifcantly decreased,signifcantly decreased,exp4exp5
39,201,13_cage_p1_merged.rec,signifcantly decreased,signifcantly decreased,signifcantly increased,exp1exp4exp5
40,223,13_cage_p1_merged.rec,signifcantly increased,signifcantly increased,not significantly changed,exp1exp4
41,261,13_cage_p1_merged.rec,signifcantly increased,not significantly changed,signifcantly decreased,exp1exp5
42,61,21_cage_p1_merged.rec,not significantly changed,not significantly changed,not significantly changed,
43,203,21_cage_p1_merged.rec,not significantly changed,signifcantly increased,signifcantly increased,exp4exp5
44,195,21_cage_p1_merged.rec,signifcantly increased,signifcantly increased,signifcantly increased,exp1exp4exp5
45,166,21_cage_p1_merged.rec,signifcantly decreased,not significantly changed,not significantly changed,exp1
46,215,21_cage_p1_merged.rec,not significantly changed,not significantly changed,not significantly changed,
47,119,21_cage_p1_merged.rec,signifcantly decreased,signifcantly decreased,signifcantly decreased,exp1exp4exp5
48,196,21_cage_p1_merged.rec,not significantly changed,signifcantly increased,signifcantly increased,exp4exp5
49,168,21_cage_p1_merged.rec,not significantly changed,signifcantly decreased,signifcantly decreased,exp4exp5
50,132,21_cage_p1_merged.rec,signifcantly increased,signifcantly increased,signifcantly increased,exp1exp4exp5
51,181,21_cage_p1_merged.rec,not significantly changed,not significantly changed,not significantly changed,
52,53,21_cage_p1_merged.rec,signifcantly increased,not significantly changed,signifcantly increased,exp1exp5
