,original_unit_id,recording,exp1,exp4,exp5
0,9,11_nov_p1_merged.rec,significantly increased,significantly increased,significantly increased
1,127,11_nov_p1_merged.rec,significantly increased,significantly decreased,significantly decreased
2,210,11_nov_p1_merged.rec,not significantly changed,significantly decreased,not significantly changed
3,251,11_nov_p1_merged.rec,significantly decreased,significantly decreased,significantly decreased
4,8,11_nov_p1_merged.rec,significantly decreased,not significantly changed,significantly decreased
5,304,11_nov_p1_merged.rec,not significantly changed,not significantly changed,significantly increased
6,424,11_nov_p1_merged.rec,not significantly changed,not significantly changed,not significantly changed
7,241,11_nov_p1_merged.rec,significantly increased,significantly decreased,significantly decreased
8,430,11_nov_p1_merged.rec,significantly increased,significantly decreased,significantly decreased
9,326,11_nov_p1_merged.rec,significantly decreased,significantly decreased,significantly decreased
10,268,11_nov_p1_merged.rec,significantly decreased,significantly decreased,significantly decreased
11,125,11_nov_p1_merged.rec,significantly decreased,significantly increased,significantly decreased
12,181,11_nov_p1_merged.rec,not significantly changed,significantly decreased,significantly decreased
13,357,11_nov_p1_merged.rec,significantly decreased,significantly decreased,significantly decreased
14,201,11_nov_p1_merged.rec,significantly increased,significantly decreased,significantly decreased
15,429,11_nov_p1_merged.rec,significantly decreased,significantly increased,significantly increased
16,379,11_nov_p1_merged.rec,significantly increased,significantly decreased,significantly decreased
17,1,11_nov_p1_merged.rec,significantly decreased,not significantly changed,significantly decreased
18,25,11_nov_p1_merged.rec,significantly increased,significantly decreased,significantly increased
19,346,11_nov_p1_merged.rec,significantly increased,significantly decreased,significantly decreased
20,50,12_nov_p1_merged.rec,significantly increased,not significantly changed,significantly increased
21,43,12_nov_p1_merged.rec,not significantly changed,significantly increased,not significantly changed
22,10,12_nov_p1_merged.rec,significantly decreased,significantly decreased,not significantly changed
23,72,12_nov_p1_merged.rec,not significantly changed,not significantly changed,significantly increased
24,189,12_nov_p1_merged.rec,significantly decreased,not significantly changed,significantly decreased
25,155,12_nov_p1_merged.rec,significantly decreased,significantly increased,not significantly changed
