Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,mice back in,,,POINT,602.133,602.133,NA,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,605.133,606.200,1.067,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,605.135,606.138,1.003,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,606.886,618.887,12.001,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,anogenital sniffing,,,STATE,608.933,613.133,4.200,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,anogenital sniffing,,,STATE,614.200,617.067,2.867,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,619.554,627.053,7.499,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,anogenital sniffing,,,STATE,624.200,626.400,2.200,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,626.667,627.733,1.066,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,627.054,628.303,1.249,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,628.304,630.803,2.499,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,628.467,629.600,1.133,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,630.000,631.533,1.533,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,630.804,632.553,1.749,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,632.554,635.053,2.499,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,635.054,638.050,2.996,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,638.050,639.220,1.170,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,fighting,,,STATE,639.221,647.332,8.111,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,chasing,,,STATE,647.333,648.000,0.667,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,fighting,,,STATE,648.000,648.800,0.800,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,fighting,,,STATE,649.800,654.933,5.133,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,657.000,657.400,0.400,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,657.333,657.533,0.200,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,658.067,658.800,0.733,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,659.733,660.132,0.399,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,fighting,,,STATE,660.133,661.732,1.599,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,fighting,,,STATE,662.933,668.133,5.200,,
