Observation id	Observation date	Description	Observation type	Source	Time offset (s)	Coding duration	Media duration (s)	FPS (frame/s)	Subject	Observation duration by subject by observation	Behavior	Behavioral category	Behavior type	Start (s)	Stop (s)	Duration (s)	Media file name	Image index start	Image index stop	Image file path start	Image file path stop	Comment start	Comment stop
21_cage_p1 Achziger	2024-10-01 10:52:54.016	21_cage_p1 video observation due oct 8 2024	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	0.0	1734.266	2341.733	15.000	No focal subject	0.0	mice back in	Not defined	POINT	603.867	603.867	NA	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	9058	9058				
21_cage_p1 Achziger	2024-10-01 10:52:54.016	21_cage_p1 video observation due oct 8 2024	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	0.0	1734.266	2341.733	15.000	subject	313.539	anogenital sniffing	Not defined	STATE	605.000	605.399	0.399	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	9075	NA				
21_cage_p1 Achziger	2024-10-01 10:52:54.016	21_cage_p1 video observation due oct 8 2024	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	0.0	1734.266	2341.733	15.000	subject	313.539	facial sniffing	Not defined	STATE	605.400	605.532	0.132	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	9081	NA				
21_cage_p1 Achziger	2024-10-01 10:52:54.016	21_cage_p1 video observation due oct 8 2024	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	0.0	1734.266	2341.733	15.000	subject	313.539	anogenital sniffing	Not defined	STATE	605.533	606.133	0.600	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	9083	9092				
21_cage_p1 Achziger	2024-10-01 10:52:54.016	21_cage_p1 video observation due oct 8 2024	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	0.0	1734.266	2341.733	15.000	subject	313.539	facial sniffing	Not defined	STATE	606.400	607.067	0.667	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	9096	9106				
21_cage_p1 Achziger	2024-10-01 10:52:54.016	21_cage_p1 video observation due oct 8 2024	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	0.0	1734.266	2341.733	15.000	subject	313.539	anogenital sniffing	Not defined	STATE	607.667	608.067	0.400	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	9115	9121				
21_cage_p1 Achziger	2024-10-01 10:52:54.016	21_cage_p1 video observation due oct 8 2024	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	0.0	1734.266	2341.733	15.000	subject	313.539	anogenital sniffing	Not defined	STATE	609.067	609.467	0.400	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	9136	9142				
21_cage_p1 Achziger	2024-10-01 10:52:54.016	21_cage_p1 video observation due oct 8 2024	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	0.0	1734.266	2341.733	15.000	subject	313.539	anogenital sniffing	Not defined	STATE	609.667	609.867	0.200	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	9145	9148				
21_cage_p1 Achziger	2024-10-01 10:52:54.016	21_cage_p1 video observation due oct 8 2024	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	0.0	1734.266	2341.733	15.000	subject	313.539	facial sniffing	Not defined	STATE	610.133	610.867	0.734	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	9152	9163				
21_cage_p1 Achziger	2024-10-01 10:52:54.016	21_cage_p1 video observation due oct 8 2024	Media file	player #1:C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	0.0	1734.266	2341.733	15.000	social_agent	189.986	facial sniffing	Not defined	STATE	610.600	611.067	0.467	C:/Users/niuni/Downloads/MOUSE LAB/BORIS/21_cage_p1_converted.mp4	9159	9166				
