Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,social_agent,mice back in,,,POINT,563.375,563.375,NA,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,social_agent,anogenital sniffing,,,STATE,563.500,563.562,0.062,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,subject,anogenital sniffing,,,STATE,566.562,567.812,1.250,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,subject,anogenital sniffing,,,STATE,572.438,574.688,2.250,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,subject,facial sniffing,,,STATE,580.688,581.438,0.750,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,social_agent,facial sniffing,,,STATE,580.688,581.250,0.562,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,subject,anogenital sniffing,,,STATE,582.062,582.750,0.688,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,subject,facial sniffing,,,STATE,587.312,587.562,0.250,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,social_agent,facial sniffing,,,STATE,587.375,587.562,0.187,,
32_cage_p1,2024-09-29 18:23:55,,/Users/naylajimenez/Downloads/32_cage_p1_converted.mp4,2195.500,16.0,social_agent,anogenital sniffing,,,STATE,588.188,588.250,0.062,,
