Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
33_nov_p1,2024-10-08 21:07:01.382,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,0.0,1735.067,2341.400,15.000,social_agent,143.795,mice back in,Not defined,POINT,602.333,602.333,NA,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,9035,9035,,,,
33_nov_p1,2024-10-08 21:07:01.382,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,0.0,1735.067,2341.400,15.000,social_agent,143.795,facial sniffing,Not defined,STATE,604.733,608.133,3.400,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,9071,9122,,,,
33_nov_p1,2024-10-08 21:07:01.382,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,0.0,1735.067,2341.400,15.000,social_agent,143.795,anogenital sniffing,Not defined,STATE,608.667,610.333,1.666,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,9130,9155,,,,
33_nov_p1,2024-10-08 21:07:01.382,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,0.0,1735.067,2341.400,15.000,subject,246.864,facial sniffing,Not defined,STATE,610.867,611.867,1.000,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,9163,9178,,,,
33_nov_p1,2024-10-08 21:07:01.382,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,0.0,1735.067,2341.400,15.000,subject,246.864,facial sniffing,Not defined,STATE,622.600,624.733,2.133,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,9339,9371,,,,
33_nov_p1,2024-10-08 21:07:01.382,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,0.0,1735.067,2341.400,15.000,subject,246.864,facial sniffing,Not defined,STATE,636.200,637.933,1.733,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,9543,9569,,,,
33_nov_p1,2024-10-08 21:07:01.382,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,0.0,1735.067,2341.400,15.000,social_agent,143.795,facial sniffing,Not defined,STATE,640.467,642.867,2.400,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,9607,9643,,,,
33_nov_p1,2024-10-08 21:07:01.382,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,0.0,1735.067,2341.400,15.000,subject,246.864,anogenital sniffing,Not defined,STATE,643.133,651.800,8.667,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,9647,9777,,,,
33_nov_p1,2024-10-08 21:07:01.382,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,0.0,1735.067,2341.400,15.000,subject,246.864,facial sniffing,Not defined,STATE,653.067,654.667,1.600,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,9796,9820,,,,
33_nov_p1,2024-10-08 21:07:01.382,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,0.0,1735.067,2341.400,15.000,subject,246.864,anogenital sniffing,Not defined,STATE,656.000,659.933,3.933,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,9840,9899,,,,
33_nov_p1,2024-10-08 21:07:01.382,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,0.0,1735.067,2341.400,15.000,subject,246.864,facial sniffing,Not defined,STATE,661.533,662.533,1.000,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,9923,9938,,,,
33_nov_p1,2024-10-08 21:07:01.382,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,0.0,1735.067,2341.400,15.000,subject,246.864,anogenital sniffing,Not defined,STATE,663.467,667.400,3.933,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,9952,10011,,,,
33_nov_p1,2024-10-08 21:07:01.382,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,0.0,1735.067,2341.400,15.000,social_agent,143.795,facial sniffing,Not defined,STATE,667.867,670.600,2.733,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,10018,10059,,,,
33_nov_p1,2024-10-08 21:07:01.382,,Media file,player #1:C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,0.0,1735.067,2341.400,15.000,subject,246.864,facial sniffing,Not defined,STATE,671.867,673.667,1.800,C:/Users/brayd/Desktop/Padilla-Coreano Lab/Social Memory/33_nov_p1_converted.mp4,10078,10105,,,,
