Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
44_Cage_ACObservations,2024-09-24 09:48:23.981,,Media file,player #1:C:/Users/anate/Downloads/44_cage_p1_converted.mp4,0.0,1735.534,2341.000,15.000,social_agent,44.53,mice back in,Not defined,POINT,603.533,603.533,NA,C:/Users/anate/Downloads/44_cage_p1_converted.mp4,9053,9053,,,,
44_Cage_ACObservations,2024-09-24 09:48:23.981,,Media file,player #1:C:/Users/anate/Downloads/44_cage_p1_converted.mp4,0.0,1735.534,2341.000,15.000,subject,118.533,anogenital sniffing,Not defined,STATE,625.667,627.600,1.933,C:/Users/anate/Downloads/44_cage_p1_converted.mp4,9385,9414,,,,
44_Cage_ACObservations,2024-09-24 09:48:23.981,,Media file,player #1:C:/Users/anate/Downloads/44_cage_p1_converted.mp4,0.0,1735.534,2341.000,15.000,subject,118.533,anogenital sniffing,Not defined,STATE,642.533,644.533,2.000,C:/Users/anate/Downloads/44_cage_p1_converted.mp4,9638,9668,,,,
44_Cage_ACObservations,2024-09-24 09:48:23.981,,Media file,player #1:C:/Users/anate/Downloads/44_cage_p1_converted.mp4,0.0,1735.534,2341.000,15.000,subject,118.533,facial sniffing,Not defined,STATE,659.067,660.733,1.666,C:/Users/anate/Downloads/44_cage_p1_converted.mp4,9886,9911,,,,
44_Cage_ACObservations,2024-09-24 09:48:23.981,,Media file,player #1:C:/Users/anate/Downloads/44_cage_p1_converted.mp4,0.0,1735.534,2341.000,15.000,subject,118.533,allogrooming,Not defined,STATE,693.933,696.733,2.800,C:/Users/anate/Downloads/44_cage_p1_converted.mp4,10409,10451,,,,
44_Cage_ACObservations,2024-09-24 09:48:23.981,,Media file,player #1:C:/Users/anate/Downloads/44_cage_p1_converted.mp4,0.0,1735.534,2341.000,15.000,subject,118.533,facial sniffing,Not defined,STATE,720.800,722.667,1.867,C:/Users/anate/Downloads/44_cage_p1_converted.mp4,10812,10840,,,,
44_Cage_ACObservations,2024-09-24 09:48:23.981,,Media file,player #1:C:/Users/anate/Downloads/44_cage_p1_converted.mp4,0.0,1735.534,2341.000,15.000,subject,118.533,anogenital sniffing,Not defined,STATE,742.333,748.000,5.667,C:/Users/anate/Downloads/44_cage_p1_converted.mp4,11135,11220,,,,
44_Cage_ACObservations,2024-09-24 09:48:23.981,,Media file,player #1:C:/Users/anate/Downloads/44_cage_p1_converted.mp4,0.0,1735.534,2341.000,15.000,subject,118.533,facial sniffing,Not defined,STATE,752.467,753.667,1.200,C:/Users/anate/Downloads/44_cage_p1_converted.mp4,11287,11305,,,,
44_Cage_ACObservations,2024-09-24 09:48:23.981,,Media file,player #1:C:/Users/anate/Downloads/44_cage_p1_converted.mp4,0.0,1735.534,2341.000,15.000,subject,118.533,anogenital sniffing,Not defined,STATE,761.400,762.400,1.000,C:/Users/anate/Downloads/44_cage_p1_converted.mp4,11421,11436,,,,
44_Cage_ACObservations,2024-09-24 09:48:23.981,,Media file,player #1:C:/Users/anate/Downloads/44_cage_p1_converted.mp4,0.0,1735.534,2341.000,15.000,subject,118.533,facial sniffing,Not defined,STATE,793.933,794.800,0.867,C:/Users/anate/Downloads/44_cage_p1_converted.mp4,11909,11922,,,,
