,subject,agent,location,color,rank,num_events,total_investigation_time,avg_event_length,hco rel rank,um rel rank
0,1.1,cagemate,1,orange,,20,102267.0,5113.35,subordinate,subordinate
1,1.1,novel,2,blue,,18,120868.0,6714.888888888889,subordinate,subordinate
2,1.1,familiar,3,green,,3,7400.0,2466.6666666666665,subordinate,subordinate
3,1.1,empty,4,pink,,16,42865.00000000023,2679.0625000000146,subordinate,subordinate
4,1.3,empty,1,green,,30,98132.0,3271.0666666666666,dominant,tied
5,1.3,cagemate,2,pink,,27,105463.00000000023,3906.0370370370456,dominant,tied
6,1.3,novel,3,orange,,13,61466.0,4728.153846153846,dominant,tied
7,1.3,familiar,4,blue,,11,25265.0,2296.818181818182,dominant,tied
8,2.1,familiar,1,orange,,9,16330.0,1814.4444444444443,subordinate,tied
9,2.1,empty,2,blue,,13,69266.00000000047,5328.153846153882,subordinate,tied
10,2.1,cagemate,3,green,,49,353388.0,7212.0,subordinate,tied
11,2.1,novel,4,pink,,18,55866.99999999977,3103.7222222222094,subordinate,tied
12,2.2,empty,1,green,,7,26999.0,3857.0,dominant,dominant
13,2.2,cagemate,2,pink,,54,447236.99999999953,8282.166666666659,dominant,dominant
14,2.2,novel,3,orange,,5,35533.0,7106.6,dominant,dominant
15,2.2,familiar,4,blue,,7,15133.999999999767,2161.999999999967,dominant,dominant
16,2.3,familiar,1,orange,,29,130797.0,4510.241379310345,subordinate,tied
17,2.3,empty,2,blue,,29,96396.99999999977,3324.0344827586127,subordinate,tied
18,2.3,cagemate,3,green,,31,122191.00000000023,3941.64516129033,subordinate,tied
19,2.3,novel,4,pink,,19,140200.0,7378.9473684210525,subordinate,tied
20,2.4,familiar,1,orange,,21,36667.99999999977,1746.095238095227,subordinate,subordinate
21,2.4,empty,2,blue,,4,5266.0,1316.5,subordinate,subordinate
22,2.4,cagemate,3,green,,24,36335.000000000466,1513.9583333333528,subordinate,subordinate
23,2.4,novel,4,pink,,57,154865.99999999977,2716.9473684210484,subordinate,subordinate
24,3.1,novel,1,green,,59,188133.99999999977,3188.711864406776,dominant,dominant
25,3.1,familiar,2,pink,,24,77932.0,3247.1666666666665,dominant,dominant
26,3.1,empty,3,orange,,8,24599.0,3074.875,dominant,dominant
27,3.1,cagemate,4,blue,,8,28734.0,3591.75,dominant,dominant
28,3.2,novel,1,green,,11,71333.0,6484.818181818182,subordinate,subordinate
29,3.2,familiar,2,pink,,9,9665.000000000233,1073.8888888889148,subordinate,subordinate
30,3.2,empty,3,orange,,1,1066.0,1066.0,subordinate,subordinate
31,3.2,cagemate,4,blue,,20,87866.0,4393.3,subordinate,subordinate
32,4.1,cagemate,1,orange,,37,128925.00000000047,3484.459459459472,subordinate,subordinate
33,4.1,novel,2,blue,,27,56993.99999999977,2110.88888888888,subordinate,subordinate
34,4.1,familiar,3,green,,25,40926.00000000023,1637.0400000000093,subordinate,subordinate
35,4.1,empty,4,pink,,24,55863.0,2327.625,subordinate,subordinate
36,4.4,cagemate,1,orange,,25,512986.99999999977,20519.479999999992,dominant,dominant
37,4.4,novel,2,blue,,6,19332.0,3222.0,dominant,dominant
38,4.4,familiar,3,green,,5,6665.0,1333.0,dominant,dominant
39,4.4,empty,4,pink,,4,6331.999999999767,1582.9999999999418,dominant,dominant
