,original_unit_id,recording,cagemate,familiar,novel
0,15,32_cups_p4_merged.rec,significantly decreased,not significantly changed,significantly increased
1,32,32_cups_p4_merged.rec,significantly decreased,not significantly changed,significantly decreased
2,19,32_cups_p4_merged.rec,significantly decreased,significantly increased,significantly decreased
3,25,32_cups_p4_merged.rec,significantly decreased,significantly increased,significantly decreased
4,23,32_cups_p4_merged.rec,significantly increased,significantly decreased,not significantly changed
5,20,32_cups_p4_merged.rec,not significantly changed,not significantly changed,not significantly changed
6,26,32_cups_p4_merged.rec,significantly increased,not significantly changed,significantly increased
7,98,41_cups_p4_merged.rec,significantly decreased,significantly decreased,not significantly changed
8,14,41_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly increased
9,25,41_cups_p4_merged.rec,significantly decreased,significantly increased,significantly increased
10,162,41_cups_p4_merged.rec,significantly decreased,not significantly changed,significantly increased
11,134,41_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
12,123,41_cups_p4_merged.rec,not significantly changed,significantly decreased,significantly increased
13,122,41_cups_p4_merged.rec,not significantly changed,significantly increased,significantly decreased
14,140,41_cups_p4_merged.rec,significantly decreased,significantly decreased,not significantly changed
15,88,41_cups_p4_merged.rec,significantly increased,significantly increased,significantly decreased
16,155,41_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
17,175,41_cups_p4_merged.rec,not significantly changed,significantly decreased,significantly decreased
18,141,41_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
19,174,41_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
20,26,41_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
21,147,41_cups_p4_merged.rec,significantly increased,significantly increased,not significantly changed
22,177,41_cups_p4_merged.rec,significantly decreased,significantly decreased,not significantly changed
23,125,41_cups_p4_merged.rec,significantly decreased,significantly decreased,not significantly changed
24,87,41_cups_p4_merged.rec,not significantly changed,not significantly changed,significantly decreased
25,15,44_cups_p4_merged.rec,significantly decreased,not significantly changed,not significantly changed
26,32,44_cups_p4_merged.rec,significantly decreased,significantly increased,not significantly changed
27,38,44_cups_p4_merged.rec,significantly increased,not significantly changed,significantly increased
28,9,44_cups_p4_merged.rec,significantly decreased,not significantly changed,not significantly changed
29,30,44_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
30,36,44_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
31,10,44_cups_p4_merged.rec,significantly increased,significantly increased,significantly decreased
32,16,44_cups_p4_merged.rec,significantly increased,significantly decreased,significantly increased
33,77,44_cups_p4_merged.rec,not significantly changed,significantly increased,significantly increased
34,59,44_cups_p4_merged.rec,significantly decreased,significantly increased,significantly decreased
35,60,24_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
36,41,24_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
37,27,24_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
38,43,24_cups_p4_merged.rec,significantly increased,significantly decreased,significantly decreased
39,50,24_cups_p4_merged.rec,not significantly changed,significantly decreased,significantly increased
40,29,24_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly decreased
41,67,24_cups_p4_merged.rec,significantly decreased,significantly increased,not significantly changed
42,68,24_cups_p4_merged.rec,significantly increased,significantly increased,significantly increased
43,58,24_cups_p4_merged.rec,significantly decreased,significantly decreased,significantly increased
