,original_unit_id,recording,cagemate,familiar,novel
0,22,22_cups_p8_merged.rec,significantly decreased,not significantly changed,significantly increased
1,7,22_cups_p8_merged.rec,significantly increased,significantly increased,significantly increased
2,8,22_cups_p8_merged.rec,significantly decreased,significantly decreased,significantly decreased
3,29,22_cups_p8_merged.rec,significantly decreased,significantly decreased,significantly decreased
4,43,22_cups_p8_merged.rec,significantly decreased,not significantly changed,significantly decreased
5,38,22_cups_p8_merged.rec,significantly increased,significantly increased,significantly increased
6,45,22_cups_p8_merged.rec,significantly decreased,not significantly changed,significantly decreased
7,31,22_cups_p8_merged.rec,significantly increased,not significantly changed,significantly increased
8,37,22_cups_p8_merged.rec,not significantly changed,significantly increased,significantly decreased
9,9,22_cups_p8_merged.rec,significantly decreased,significantly decreased,significantly decreased
10,39,22_cups_p8_merged.rec,significantly increased,significantly increased,significantly increased
11,19,22_cups_p8_merged.rec,significantly decreased,significantly decreased,significantly decreased
12,41,22_cups_p8_merged.rec,not significantly changed,significantly increased,significantly increased
13,25,22_cups_p8_merged.rec,significantly increased,significantly increased,significantly increased
14,33,22_cups_p8_merged.rec,significantly decreased,not significantly changed,significantly decreased
15,17,32_cups_p8_merged.rec,significantly decreased,not significantly changed,not significantly changed
16,16,32_cups_p8_merged.rec,significantly decreased,significantly decreased,significantly decreased
17,5,32_cups_p8_merged.rec,significantly decreased,significantly decreased,not significantly changed
18,19,32_cups_p8_merged.rec,significantly increased,significantly increased,significantly decreased
19,318,41_cups_p8_merged.rec,significantly decreased,significantly decreased,significantly decreased
20,237,41_cups_p8_merged.rec,not significantly changed,significantly increased,significantly increased
21,145,41_cups_p8_merged.rec,significantly decreased,significantly increased,not significantly changed
22,103,41_cups_p8_merged.rec,significantly increased,significantly increased,not significantly changed
23,274,41_cups_p8_merged.rec,significantly increased,significantly increased,significantly increased
24,217,41_cups_p8_merged.rec,significantly decreased,significantly increased,significantly decreased
25,316,41_cups_p8_merged.rec,significantly increased,significantly decreased,significantly increased
26,235,41_cups_p8_merged.rec,significantly increased,not significantly changed,significantly increased
27,21,41_cups_p8_merged.rec,significantly increased,significantly increased,significantly decreased
28,324,41_cups_p8_merged.rec,significantly decreased,significantly decreased,significantly decreased
29,38,41_cups_p8_merged.rec,significantly increased,significantly decreased,significantly decreased
30,296,41_cups_p8_merged.rec,significantly increased,significantly decreased,significantly decreased
31,283,41_cups_p8_merged.rec,significantly decreased,significantly increased,significantly increased
32,314,41_cups_p8_merged.rec,significantly increased,significantly increased,significantly increased
33,33,41_cups_p8_merged.rec,significantly increased,significantly increased,significantly increased
34,295,41_cups_p8_merged.rec,significantly increased,significantly increased,significantly increased
35,331,41_cups_p8_merged.rec,significantly decreased,significantly decreased,significantly decreased
36,12,41_cups_p8_merged.rec,significantly decreased,not significantly changed,significantly decreased
37,78,41_cups_p8_merged.rec,significantly decreased,significantly increased,significantly increased
38,62,44_cups_p8_merged.rec,significantly increased,significantly increased,significantly decreased
39,17,44_cups_p8_merged.rec,significantly decreased,significantly decreased,significantly decreased
40,10,44_cups_p8_merged.rec,not significantly changed,significantly increased,not significantly changed
41,59,44_cups_p8_merged.rec,significantly decreased,significantly decreased,significantly increased
42,77,44_cups_p8_merged.rec,not significantly changed,significantly increased,significantly increased
43,61,44_cups_p8_merged.rec,significantly decreased,significantly decreased,significantly decreased
44,4,44_cups_p8_merged.rec,significantly decreased,significantly decreased,not significantly changed
45,106,44_cups_p8_merged.rec,significantly increased,significantly increased,not significantly changed
46,70,44_cups_p8_merged.rec,significantly increased,significantly increased,significantly increased
47,47,44_cups_p8_merged.rec,significantly increased,significantly increased,significantly increased
48,83,44_cups_p8_merged.rec,not significantly changed,significantly decreased,significantly decreased
