level_0,subject,level_1,order,condition,score,exposure_number
11_CNF_merged.rec1.1,11,no_events,CNF,cagemate,48.0,1
11_CNF_merged.rec1.1,11,avg event,CNF,cagemate,2.0658468750000027,1
11_CNF_merged.rec1.1,11,total time,CNF,cagemate,99.16065000000015,1
11_NCF_merged.rec1.1,11,no_events,NCF,cagemate,13.0,2
11_NCF_merged.rec1.1,11,avg event,NCF,cagemate,1.2111269230769337,2
11_NCF_merged.rec1.1,11,total time,NCF,cagemate,15.74465000000014,2
12_CNF_merged.rec1.2,12,no_events,CNF,cagemate,41.0,1
12_CNF_merged.rec1.2,12,avg event,CNF,cagemate,2.1154243902439203,1
12_CNF_merged.rec1.2,12,total time,CNF,cagemate,86.73240000000072,1
13_NCF_merged.rec1.3,13,no_events,NCF,cagemate,18.0,2
13_NCF_merged.rec1.3,13,avg event,NCF,cagemate,1.3050250000000878,2
13_NCF_merged.rec1.3,13,total time,NCF,cagemate,23.490450000001584,2
21_FCN_merged.rec2.1,21,no_events,FCN,cagemate,15.0,2
21_FCN_merged.rec2.1,21,avg event,FCN,cagemate,2.9383299999999815,2
21_FCN_merged.rec2.1,21,total time,FCN,cagemate,44.074949999999724,2
21_NCF_merged.rec2.1,21,no_events,NCF,cagemate,15.0,2
21_NCF_merged.rec2.1,21,avg event,NCF,cagemate,2.272833333333318,2
21_NCF_merged.rec2.1,21,total time,NCF,cagemate,34.09249999999977,2
22_FCN_merged.rec2.2,22,no_events,FCN,cagemate,3.0,2
22_FCN_merged.rec2.2,22,avg event,FCN,cagemate,1.3165666666665736,2
22_FCN_merged.rec2.2,22,total time,FCN,cagemate,3.9496999999997207,2
22_NCF_merged.rec2.2,22,no_events,NCF,cagemate,9.0,2
22_NCF_merged.rec2.2,22,avg event,NCF,cagemate,1.0317055555555141,2
22_NCF_merged.rec2.2,22,total time,NCF,cagemate,9.285349999999628,2
23_CNF_merged.rec2.3,23,no_events,CNF,cagemate,12.0,1
23_CNF_merged.rec2.3,23,avg event,CNF,cagemate,1.4936416666666628,1
23_CNF_merged.rec2.3,23,total time,CNF,cagemate,17.923699999999954,1
23_NFC_merged.rec2.3,23,no_events,NFC,cagemate,14.0,3
